Date,Open,High,Low,Close,Volume,Adj Close
2006-04-26,25.02,25.059999,24.799999,24.870001,1193600,20.881618
2006-04-27,24.6,24.969999,24.5,24.700001,1351100,20.738881
2006-04-28,24.82,24.92,24.719999,24.860001,433300,20.873222
2006-05-01,25.0,25.23,24.889999,24.969999,665800,20.96558
2006-05-02,25.09,25.24,25.01,25.24,627300,21.192281
2006-05-03,25.33,25.33,24.93,25.040001,617700,21.024356
2006-05-04,24.969999,25.110001,24.870001,24.93,766600,20.931996
2006-05-05,25.120001,25.25,25.059999,25.25,552500,21.200677
2006-05-08,25.190001,25.209999,24.91,25.15,907200,21.116714
2006-05-09,25.23,25.620001,25.23,25.459999,861000,21.376999
2006-05-10,25.48,25.52,25.32,25.48,863800,21.393792
2006-05-11,25.52,25.57,25.02,25.09,728100,21.066336
2006-05-12,25.01,25.01,24.49,24.68,2194000,20.722088
2006-05-15,24.5,24.5,23.879999,24.120001,1065600,20.251895
2006-05-16,24.299999,24.42,23.950001,24.209999,773200,20.32746
2006-05-17,24.299999,24.33,23.67,23.709999,732900,19.907645
2006-05-18,23.809999,23.809999,23.290001,23.389999,1208600,19.638963
2006-05-19,23.16,23.5,22.92,23.469999,991200,19.706134
2006-05-22,23.110001,23.299999,22.809999,23.27,1825800,19.538209
2006-05-23,23.459999,23.68,23.27,23.290001,689200,19.555002
2006-05-24,23.030001,23.26,22.790001,23.07,894000,19.370282
2006-05-25,23.5,23.91,23.440001,23.91,503600,20.075572
2006-05-26,24.01,24.120001,23.879999,24.120001,890100,20.251895
2006-05-30,24.379999,24.4,24.02,24.02,654500,20.167932
2006-05-31,24.299999,24.370001,24.09,24.299999,1017600,20.403027
2006-06-01,23.860001,24.440001,23.790001,24.299999,864700,20.403027
2006-06-02,24.58,24.6,24.4,24.52,813600,20.587747
2006-06-05,24.48,24.549999,24.0,24.01,517800,20.159535
2006-06-06,23.780001,23.83,23.5,23.780001,1065400,19.966421
2006-06-07,23.49,23.719999,23.26,23.360001,831800,19.613776
2006-06-08,23.07,23.07,22.43,22.959999,1887200,19.277922
2006-06-09,23.42,23.52,23.16,23.24,435900,19.513019
